"","country","region","WHO_REGION","date","latest","cases","deaths","pop","incidence","cfr","mortality","newcases","newdeaths","newcasessmooth","newdeathssmooth","newcasessmoothpp","newdeathssmoothpp","latestcasespp","peakcasespp","peakdate","regioncases","regiondeaths","regionpop","regionnewcases","regionnewdeaths","regionincidence","regioncfr","regionmortality","regionnewcasessmooth","regionnewdeathssmooth","regionnewcasessmoothpp","regionnewdeathssmoothpp"
"1","Brazil","South America","PAHO",2020-03-01,FALSE,2,0,212559.409,0,0,0,0,0,0.28571,0,0,0,16.686,21.8,NA,79,1,1018121.127,26,0,0,1.3,0,7.42857,0.14286,0.001,1e-05
"2","Brazil","South America","PAHO",2020-03-02,FALSE,2,0,212559.409,0,0,0,0,0,0.28571,0,0,0,16.686,21.8,NA,105,6,1018121.127,26,5,0,5.7,0,11,0.85714,0.001,8e-05
"3","Brazil","South America","PAHO",2020-03-03,FALSE,2,0,212559.409,0,0,0,0,0,0.28571,0,0,0,16.686,21.8,NA,130,7,1018121.127,25,1,0,5.4,0,14.42857,1,0.001,1e-04
"4","Brazil","South America","PAHO",2020-03-04,FALSE,4,0,212559.409,0,0,0,2,0,0.42857,0,0,0,16.686,21.8,NA,171,11,1018121.127,41,4,0,6.4,0,20.14286,1.57143,0.002,0.00015
"5","Brazil","South America","PAHO",2020-03-05,FALSE,4,0,212559.409,0,0,0,0,0,0.42857,0,0,0,16.686,21.8,NA,258,12,1018121.127,87,1,0,4.7,0,32.14286,1.71429,0.003,0.00017
"6","Brazil","South America","PAHO",2020-03-06,FALSE,13,0,212559.409,0,0,0,9,0,1.71429,0,0.001,0,16.686,21.8,NA,338,14,1018121.127,80,2,0,4.1,0,43.28571,2,0.004,2e-04
"7","Brazil","South America","PAHO",2020-03-07,FALSE,13,0,212559.409,0,0,0,0,0,1.57143,0,0.001,0,16.686,21.8,NA,515,17,1018121.127,177,3,0.1,3.3,0,66,2.28571,0.006,0.00022
"8","Brazil","South America","PAHO",2020-03-08,FALSE,20,0,212559.409,0,0,0,7,0,2.57143,0,0.001,0,16.686,21.8,NA,674,22,1018121.127,159,5,0.1,3.3,0,85,3,0.008,0.00029
"9","Brazil","South America","PAHO",2020-03-09,FALSE,25,0,212559.409,0,0,0,5,0,3.28571,0,0.002,0,16.686,21.8,NA,773,24,1018121.127,99,2,0.1,3.1,0,95.42857,2.57143,0.009,0.00025
"10","Brazil","South America","PAHO",2020-03-10,FALSE,31,0,212559.409,0,0,0,6,0,4.14286,0,0.002,0,16.686,21.8,NA,986,30,1018121.127,213,6,0.1,3,0,122.28571,3.28571,0.012,0.00032
"11","Brazil","South America","PAHO",2020-03-11,FALSE,38,0,212559.409,0,0,0,7,0,4.85714,0,0.002,0,16.686,21.8,NA,1428,36,1018121.127,442,6,0.1,2.5,0,179.57143,3.57143,0.018,0.00035
"12","Brazil","South America","PAHO",2020-03-12,FALSE,52,0,212559.409,0,0,0,14,0,6.85714,0,0.003,0,16.686,21.8,NA,1915,47,1018121.127,487,11,0.2,2.5,0,236.71429,5,0.023,0.00049
"13","Brazil","South America","PAHO",2020-03-13,FALSE,151,0,212559.409,0.1,0,0,99,0,19.71429,0,0.009,0,16.686,21.8,NA,2817,56,1018121.127,902,9,0.3,2,0,354.14286,6,0.035,0.00059
"14","Brazil","South America","PAHO",2020-03-14,FALSE,151,0,212559.409,0.1,0,0,0,0,19.71429,0,0.009,0,16.686,21.8,NA,3697,65,1018121.127,880,9,0.4,1.8,0,454.57143,6.85714,0.045,0.00067
"15","Brazil","South America","PAHO",2020-03-15,FALSE,162,0,212559.409,0.1,0,0,11,0,20.28571,0,0.01,0,16.686,21.8,NA,4074,77,1018121.127,377,12,0.4,1.9,0,485.71429,7.85714,0.048,0.00077
"16","Brazil","South America","PAHO",2020-03-16,FALSE,200,0,212559.409,0.1,0,0,38,0,25,0,0.012,0,16.686,21.8,NA,5996,108,1018121.127,1922,31,0.6,1.8,0,746.14286,12,0.073,0.00118
"17","Brazil","South America","PAHO",2020-03-17,FALSE,321,1,212559.409,0.2,0.3,0,121,1,41.42857,0.14286,0.019,7e-05,16.686,21.8,NA,8235,146,1018121.127,2239,38,0.8,1.8,0,1035.57143,16.57143,0.102,0.00163
"18","Brazil","South America","PAHO",2020-03-18,FALSE,372,3,212559.409,0.2,0.8,0,51,2,47.71429,0.42857,0.022,2e-04,16.686,21.8,NA,11370,211,1018121.127,3135,65,1.1,1.9,0,1420.28571,25,0.14,0.00246
"19","Brazil","South America","PAHO",2020-03-19,FALSE,621,6,212559.409,0.3,1,0,249,3,81.28571,0.85714,0.038,4e-04,16.686,21.8,NA,16600,294,1018121.127,5230,83,1.6,1.8,0,2097.85714,35.28571,0.206,0.00347
